area,perimeter,eccentricity,solidity,extent,circularity,hu1,hu2,hu3,hu4,hu5,hu6,hu7,mean_b,mean_g,mean_r,contrast,homogeneity,energy,correlation
107113.0,1287.4844148224613,0.2256703379681993,0.9847026485378343,0.7849521464479913,0.8120225428951333,3.174601813048145,7.76543893980524,9.908507269090236,9.991919218277573,9.999999999999948,9.99999895949694,9.999999999999986,62.29729846515487,75.22983787334071,167.5175262721239,175.68355000643584,0.6767974230104665,0.4662536475186161,0.9747531857292935
95545.0,1352.2539674441618,0.4561323808096893,0.9422490902456583,0.7533906323923671,0.6566006376572298,3.197038931247279,8.256452712280135,9.984530697704516,9.999807155979896,10.0,9.999999987036285,-10.0,77.84609346381286,175.5936469726307,157.8263436077241,183.94270689483744,0.7880046530275384,0.4709611187242849,0.9869226272955798
121843.0,1411.9940828143394,0.2852446518928791,0.9675761955434143,0.7055386664350445,0.7679707764044673,3.2022099959279053,9.092210337554427,9.99207707111589,9.999995648510886,-10.0,9.999999999889159,-10.0,73.12890358904492,64.73172853590276,170.5795244700147,150.7080154612959,0.6694525901721309,0.37917719311869613,0.9748972780119135
101089.0,1244.7981233214462,0.295565252750149,0.9815895518764869,0.7821804394924172,0.8198151026489385,3.2034322621102986,9.037399205734802,9.998386279109813,9.999998745174944,-10.0,9.999999999964226,-10.0,80.95171581477707,81.96857224821692,196.25466667985637,171.8145845702511,0.6271375726724594,0.40985302143418023,0.9782144059491025
86738.0,1335.1412690719535,0.70716472859969,0.9246628644528543,0.6988011988011988,0.6114554605760353,3.1492768797563775,7.251830326396228,9.819237498128787,9.975395037199958,9.999999999999563,9.999994086729446,-9.999999999999954,82.6911042449676,106.56105743734004,181.9069727224515,195.88736748049942,0.6631415352311991,0.4740846714039981,0.9795540702746166
74288.0,1698.8641404994282,0.7535237573727447,0.885741197791847,0.6050595383537767,0.3234530357717596,3.111469773957663,7.026098943334778,9.727834509061582,9.929771402418831,9.999999999997023,9.999977057805662,-9.999999999999847,59.30252530691364,87.85231800559983,163.1061409648934,262.249251649081,0.6973623044383535,0.4941570414283403,0.9663415600366059
90226.0,1219.1828996322963,0.24683736664083036,0.9609039692428938,0.7628686417748918,0.7627879838539111,3.2025609039331675,9.311180695124394,9.991665757093923,9.999991268304628,-10.0,9.999999999831571,-10.0,73.73986434065569,176.49852592379136,150.1767339791191,162.7183096967601,0.7389109024924436,0.47819568389764505,0.9875238792946428
120111.0,1364.6803743153546,0.5601875267601052,0.97675836999569,0.7146061399333651,0.8104584504687768,3.1903801896091806,7.838236992706543,9.956350294276959,9.998853779743744,9.999999999999998,9.999999907016225,9.999999999999998,85.24180133376626,172.7875465194695,150.3175978886197,173.3802331435653,0.6040000700810071,0.4172048258788752,0.9882271695479307
111373.0,1509.6509370638319,0.634258641555343,0.9268570762803549,0.6923425999602149,0.6140966106196039,3.1697203065452673,7.535880115878271,9.895693851472407,9.989628651107896,9.999999999999915,9.999998275364582,9.999999999999993,66.45880958580625,72.9373995492624,151.98598403562804,168.23205190277912,0.7680112896075855,0.4594643790321957,0.9735756697103598
66445.0,1082.0458146424487,0.33098854343894535,0.9548890549551621,0.7635250045964331,0.7131499740565974,3.1443533308040914,7.360895205220718,9.803469856437578,9.958345368452793,9.999999999998956,9.999990897917987,9.999999999999906,81.27088074498417,186.519605535065,167.9764445839546,236.41957433045994,0.779656077983879,0.52227886095654,0.9844300018714035
117315.0,1358.6976182580577,0.22752861120456963,0.9890151579018361,0.7935589918422014,0.7985788074189744,3.2031660433431246,9.423620963726291,9.992376123257118,9.999995000326468,-10.0,-9.999999999952843,10.0,82.30670417252696,103.89149725099092,210.6038784469164,191.67250632805036,0.565548488137636,0.38221473930898797,0.9807921312380132
66027.0,1220.8153672641492,0.4520499549392889,0.9050373517922007,0.704866930705753,0.5567131173399297,3.182297652152225,8.244598219381883,9.96581609440854,9.993753346996186,9.999999999999979,9.999999529719474,-9.999999999999995,75.07506020264437,76.58203462220001,173.990261559665,221.9145927515716,0.6953411104139631,0.4951472721465602,0.9720453850534135
77424.0,1316.7392488184005,0.5861153820368503,0.9578977321934502,0.7249438202247191,0.5611589665399876,3.182387881300142,7.728877385978627,9.92905962329276,9.997929191330805,9.999999999999995,9.999999726804969,9.999999999999996,89.70658968795206,113.5025444306675,195.6078089481298,243.9678640916154,0.6521939728870714,0.4920345960693514,0.976942449871432
123620.0,1436.9230150024741,0.1241466817618292,0.979781407771992,0.7823753528347025,0.7523702275794945,3.201959042542769,9.907297667730552,9.985153573154696,9.99999967387495,10.0,-9.99999999999903,10.0,69.93717845008898,67.90073612684031,176.15694871380035,152.83526553941414,0.6995295704319494,0.4100898691059576,0.9769845024743206
