area,perimeter,eccentricity,solidity,extent,circularity,hu1,hu2,hu3,hu4,hu5,hu6,hu7,mean_b,mean_g,mean_r,mean_h,mean_s,mean_v,contrast,homogeneity,energy,correlation
82055.0,2556.4398256692884,0.649987628299282,0.8028000900098815,0.5991340284470925,0.15777702563349355,3.136806687068247,7.465962920797425,9.895113573686745,9.985572398523923,9.999999999999876,9.999998487723932,-9.999999999999934,79.56439692903781,109.8780942814092,138.08469063165197,15.11297266269642,107.40503695199828,138.08707038817536,115.86791938797299,0.3523174992448782,0.18347289784425952,0.9890190369332212
125624.0,1341.9940828143394,0.3706772250223193,0.9933499387182224,0.7640525976474595,0.876559255655167,3.203269653915548,8.650906034940038,9.999264944737837,9.999999460015372,-10.0,-9.99999999999557,10.0,72.67170285932625,115.83456186715914,210.66247691523913,9.200240399923581,167.2190982614787,210.66247691523913,45.446396294276596,0.43989275228999014,0.16297566196601154,0.993330238349485
92472.0,1175.9453095790604,0.3241303186986737,0.9835772634445201,0.793124742692466,0.8403222566124692,3.201508891369812,8.880987660945319,9.985073224007413,9.999999738364679,10.0,9.999999999992491,10.0,101.82530928280993,176.37648152954407,205.70304524612857,21.09402846266978,131.9282809931655,205.70304524612857,20.738844905905257,0.5792892968147917,0.13146141865655864,0.9960770278023714
152998.0,2778.8986283848344,0.41898859151073653,0.839472168116101,0.772623520381368,0.24897182853571748,3.1227852580743543,8.988012922032617,9.988165664285896,9.979494713521836,9.999999999999924,-9.999999539647916,9.999999999999998,52.005927634744204,86.22468264640209,139.8122525012028,15.803351796795006,148.671673184392,140.2794315392112,299.3737010147845,0.2669463053539832,0.02146094391136524,0.9612528946540728
22163.0,922.6904755831213,0.922857241136962,0.5628126666497372,0.4150063665643023,0.32713449051308463,2.7968912067090024,5.8533502209565285,8.810138373557013,9.505000218220566,-9.999999999488793,-9.998909616616423,-9.99999999996546,84.30059107521545,194.31575147768802,228.15512340387133,22.930875783964265,161.33763479673328,228.1571086946713,9.927547770700638,0.8497285652253013,0.5078759110640395,0.9952928917535724
172058.0,1607.290547370621,0.4775044951249402,0.9942330806213018,0.7897858198610078,0.8369431384315401,3.2003246128759417,8.175112886138097,9.999034040169182,9.999994599599248,10.0,9.999999999608583,-10.0,73.60822513338525,162.80721035929744,209.4961873321787,18.61226446895814,167.68147368910485,209.4961931441723,65.7784090909091,0.5067990911033595,0.14836873293106928,0.9931255677588882
40751.0,1281.8864350760145,0.6859314970091442,0.8747102258092213,0.7134778345822537,0.31163701138315225,3.1470795774134928,7.319791851030277,9.960802822660265,9.995415995587713,-9.999999999999986,-9.999999014413694,9.999999999999998,66.22782668399499,84.03121551702999,136.39481621343273,9.012701993575439,139.72416076113876,136.3972683357446,167.04485951468712,0.21630531256586172,0.0686523786028866,0.9828753255865761
9439.0,550.8772003600252,0.9435181490040268,0.7530115676106901,0.5363068181818181,0.3908645233574983,2.8569691046601777,5.928111152036492,9.097809984763996,9.701515847817477,-9.999999999911902,-9.999555734649796,9.999999999929617,42.37273684210526,52.98978947368421,75.88905263157895,29.049894736842106,99.47063157894736,75.902,553.4450679493052,0.518579408126424,0.367119064105061,0.9720972292297213
51311.0,1360.940258945177,0.9231440827961378,0.598302258602395,0.39692890848611434,0.3481306170279553,2.828759685380695,5.916141889511003,8.88953910764993,9.573946807303091,-9.99999999969534,-9.999211072485076,9.999999999894374,101.36126756445987,192.80768256319308,227.70511196429615,21.706865974157587,141.10709204653972,227.7063202822007,9.126213440830874,0.8669274716692854,0.32719443229737505,0.9950448157228728
52210.0,1055.8132752230963,0.7028354593203358,0.9386573657905145,0.7378879529651196,0.5885580723987367,3.1648094990153535,7.297005851174526,9.90897955429451,9.993382881261352,9.999999999999964,9.999998896357503,9.99999999999998,69.28691821490136,145.34242482283088,206.36077379812298,19.850814020302625,168.6682627849071,213.20019153418886,300.89841337907376,0.5329419227918275,0.2019148558073789,0.9333202671321116
